"id","start","end","venue_id","band_id"
"1","2011-09-17 12:30:00","2011-09-17 13:15:00","1","1"
"2","2011-09-17 14:00:00","2011-09-17 15:00:00","1","2"
"3","2011-09-17 16:00:00","2011-09-17 17:00:00","1","3"
"4","2011-09-17 18:00:00","2011-09-17 19:00:00","1","4"
"5","2011-09-17 20:00:00","2011-09-17 21:30:00","1","5"
"6","2011-09-17 11:45:00","2011-09-17 12:30:00","2","6"
"7","2011-09-17 13:15:00","2011-09-17 14:00:00","2","7"
"8","2011-09-17 15:00:00","2011-09-17 16:00:00","2","8"
"9","2011-09-17 17:00:00","2011-09-17 18:00:00","2","9"
"10","2011-09-17 19:00:00","2011-09-17 20:00:00","2","10"
"11","2011-09-17 11:30:00","2011-09-17 11:55:00","3","11"
"12","2011-09-17 11:15:00","2011-09-17 11:45:00","4","12"
"13","2011-09-17 11:15:00","2011-09-17 12:00:00","5","13"
"14","2011-09-17 11:30:00","2011-09-17 12:30:00","6","14"
"15","2011-09-17 11:45:00","2011-09-17 12:30:00","7","15"
"16","2011-09-17 12:30:00","2011-09-17 12:55:00","3","16"
"17","2011-09-17 12:00:00","2011-09-17 12:40:00","4","17"
"18","2011-09-17 12:30:00","2011-09-17 13:15:00","5","18"
"19","2011-09-17 13:15:00","2011-09-17 14:00:00","7","19"
"20","2011-09-17 13:00:00","2011-09-17 14:00:00","6","20"
"21","2011-09-17 13:00:00","2011-09-17 13:40:00","4","21"
"22","2011-09-17 13:30:00","2011-09-17 13:55:00","3","22"
"23","2011-09-17 14:30:00","2011-09-17 14:55:00","3","23"
"24","2011-09-17 14:00:00","2011-09-17 14:45:00","4","24"
"25","2011-09-17 14:00:00","2011-09-17 15:00:00","5","25"
"26","2011-09-17 14:30:00","2011-09-17 15:30:00","6","26"
"27","2011-09-17 14:00:00","2011-09-17 15:00:00","8","27"
"28","2011-09-17 15:00:00","2011-09-17 16:00:00","7","28"
"29","2011-09-17 15:15:00","2011-09-17 16:00:00","4","29"
"30","2011-09-17 15:30:00","2011-09-17 16:00:00","3","30"
"31","2011-09-17 16:30:00","2011-09-17 17:15:00","4","31"
"32","2011-09-17 16:00:00","2011-09-17 17:00:00","5","32"
"33","2011-09-17 16:00:00","2011-09-17 17:00:00","6","33"
"34","2011-09-17 16:00:00","2011-09-17 17:00:00","8","34"
"35","2011-09-17 17:00:00","2011-09-17 18:00:00","7","35"
"36","2011-09-17 17:30:00","2011-09-17 18:30:00","6","36"
"37","2011-09-17 18:00:00","2011-09-17 19:00:00","5","37"
"38","2011-09-17 12:30:00","2011-09-17 13:15:00","8","38"
"39","2011-09-17 17:45:00","2011-09-17 18:30:00","4","39"
"40","2011-09-17 19:00:00","2011-09-17 20:00:00","4","40"
"41","2011-09-17 19:00:00","2011-09-17 20:00:00","6","41"
"42","2011-09-17 19:00:00","2011-09-17 20:00:00","7","42"
"43","2011-09-17 18:00:00","2011-09-17 19:00:00","8","43"
"44","2011-09-17 20:00:00","2011-09-17 22:00:00","8","44"
"45","2011-09-16 12:25:00","2011-09-16 13:10:00","1","45"
"46","2011-09-16 14:10:00","2011-09-16 15:10:00","1","46"
"47","2011-09-16 11:45:00","2011-09-16 12:25:00","2","47"
"48","2011-09-16 11:30:00","2011-09-16 11:55:00","3","48"
"49","2011-09-16 11:20:00","2011-09-16 12:00:00","4","49"
"50","2011-09-16 11:15:00","2011-09-16 12:00:00","5","50"
"51","2011-09-16 11:45:00","2011-09-16 12:30:00","7","51"
"52","2011-09-16 12:00:00","2011-09-16 13:00:00","6","52"
"53","2011-09-16 12:20:00","2011-09-16 13:00:00","4","53"
"54","2011-09-16 12:30:00","2011-09-16 12:55:00","3","11"
"55","2011-09-16 13:10:00","2011-09-16 14:10:00","2","54"
"56","2011-09-16 13:30:00","2011-09-16 13:55:00","3","55"
"57","2011-09-16 13:20:00","2011-09-16 14:00:00","4","56"
"58","2011-09-16 12:45:00","2011-09-16 13:30:00","5","57"
"59","2011-09-16 12:30:00","2011-09-16 13:30:00","8","58"
"60","2011-09-16 13:30:00","2011-09-16 14:30:00","7","59"
"61","2011-09-16 13:30:00","2011-09-16 14:30:00","6","60"
"62","2011-09-16 14:30:00","2011-09-16 14:55:00","3","22"
"63","2011-09-16 14:30:00","2011-09-16 15:15:00","4","61"
"64","2011-09-16 14:30:00","2011-09-16 15:30:00","5","62"
"65","2011-09-16 15:00:00","2011-09-16 16:00:00","6","63"
"66","2011-09-16 14:30:00","2011-09-16 15:30:00","8","64"
"67","2011-09-16 15:30:00","2011-09-16 16:00:00","3","16"
"68","2011-09-16 15:10:00","2011-09-16 16:10:00","2","65"
"69","2011-09-16 16:10:00","2011-09-16 17:10:00","1","66"
"70","2011-09-16 15:45:00","2011-09-16 16:30:00","4","67"
"71","2011-09-16 15:30:00","2011-09-16 16:30:00","7","68"
"72","2011-09-16 17:10:00","2011-09-16 18:10:00","2","69"
"73","2011-09-16 17:00:00","2011-09-16 17:45:00","4","70"
"74","2011-09-16 16:30:00","2011-09-16 17:30:00","5","71"
"75","2011-09-16 16:30:00","2011-09-16 17:30:00","6","72"
"76","2011-09-16 16:30:00","2011-09-16 17:30:00","8","73"
"77","2011-09-16 17:30:00","2011-09-16 18:30:00","7","74"
"78","2011-09-16 18:00:00","2011-09-16 19:00:00","6","75"
"79","2011-09-16 18:30:00","2011-09-16 19:30:00","5","76"
"80","2011-09-16 18:15:00","2011-09-16 19:00:00","4","77"
"81","2011-09-16 18:10:00","2011-09-16 19:10:00","1","78"
"82","2011-09-16 19:10:00","2011-09-16 20:10:00","2","79"
"83","2011-09-16 19:30:00","2011-09-16 20:30:00","4","80"
"84","2011-09-16 19:30:00","2011-09-16 20:30:00","6","81"
"85","2011-09-16 19:30:00","2011-09-16 20:30:00","7","82"
"86","2011-09-16 18:30:00","2011-09-16 19:30:00","8","83"
"87","2011-09-16 20:30:00","2011-09-16 22:00:00","8","84"
"88","2011-09-16 20:10:00","2011-09-16 21:40:00","1","85"
"89","2011-09-18 12:30:00","2011-09-18 13:30:00","1","86"
"90","2011-09-18 11:45:00","2011-09-18 12:30:00","2","87"
"91","2011-09-18 11:30:00","2011-09-18 11:55:00","3","55"
"92","2011-09-18 11:20:00","2011-09-18 12:00:00","4","88"
"93","2011-09-18 11:15:00","2011-09-18 12:00:00","5","89"
"94","2011-09-18 11:45:00","2011-09-18 12:30:00","7","90"
"95","2011-09-18 12:00:00","2011-09-18 13:00:00","6","91"
"96","2011-09-18 12:30:00","2011-09-18 13:30:00","8","92"
"97","2011-09-18 12:45:00","2011-09-18 13:30:00","5","93"
"98","2011-09-18 12:20:00","2011-09-18 13:00:00","4","94"
"99","2011-09-18 12:30:00","2011-09-18 12:55:00","3","23"
"100","2011-09-18 13:30:00","2011-09-18 14:30:00","7","95"
"101","2011-09-18 13:30:00","2011-09-18 14:30:00","6","96"
"102","2011-09-18 13:20:00","2011-09-18 14:00:00","4","97"
"103","2011-09-18 13:30:00","2011-09-18 13:55:00","3","30"
"104","2011-09-18 13:30:00","2011-09-18 14:30:00","2","98"
"105","2011-09-18 14:30:00","2011-09-18 15:30:00","1","99"
"106","2011-09-18 14:30:00","2011-09-18 14:55:00","3","100"
"107","2011-09-18 14:30:00","2011-09-18 15:15:00","4","101"
"108","2011-09-18 14:30:00","2011-09-18 15:30:00","5","102"
"109","2011-09-18 15:00:00","2011-09-18 16:00:00","6","103"
"110","2011-09-18 14:30:00","2011-09-18 15:30:00","8","104"
"111","2011-09-18 16:30:00","2011-09-18 17:30:00","8","105"
"112","2011-09-18 16:30:00","2011-09-18 17:30:00","6","106"
"113","2011-09-18 15:45:00","2011-09-18 16:30:00","4","107"
"114","2011-09-18 15:15:00","2011-09-18 15:45:00","3","108"
"115","2011-09-18 15:30:00","2011-09-18 16:30:00","2","109"
"116","2011-09-18 16:05:00","2011-09-18 16:30:00","3","48"
"117","2011-09-18 16:30:00","2011-09-18 17:30:00","1","110"
"118","2011-09-18 17:30:00","2011-09-18 18:30:00","2","111"
"119","2011-09-18 17:00:00","2011-09-18 17:45:00","4","112"
"120","2011-09-18 16:30:00","2011-09-18 17:30:00","5","113"
"121","2011-09-18 15:30:00","2011-09-18 16:30:00","7","114"
"122","2011-09-18 20:30:00","2011-09-18 22:00:00","8","115"
"123","2011-09-18 18:30:00","2011-09-18 19:30:00","8","116"
"124","2011-09-18 17:30:00","2011-09-18 18:30:00","7","117"
"125","2011-09-18 19:30:00","2011-09-18 20:30:00","7","118"
"126","2011-09-18 19:30:00","2011-09-18 20:30:00","6","119"
"127","2011-09-18 18:00:00","2011-09-16 19:00:00","6","120"
"128","2011-09-18 18:30:00","2011-09-18 19:30:00","5","121"
"129","2011-09-18 18:15:00","2011-09-18 19:00:00","4","122"
"130","2011-09-18 19:30:00","2011-09-18 20:30:00","4","123"
"131","2011-09-18 19:30:00","2011-09-18 20:30:00","2","124"
"132","2011-09-18 18:30:00","2011-09-18 19:30:00","1","125"
